VPE_Open,VPE - RN,VPE - LPN,VPE - SN,VPE - PT,VPE - PTA,VPE - OT,VPE - ST,VPE - COTA,VPE - AIDE,VPE - MSW,Month Year,VPE - AIDE_Open Exclusion,VPE - COTA_Open Exclusion,VPE - LPN_Open Exclusion,VPE - MSW_Open Exclusion,VPE - OT_Open Exclusion,VPE - PT_Open Exclusion,VPE - PTA_Open Exclusion,VPE - RN_Open Exclusion,VPE - SN_Open Exclusion,VPE - ST_Open Exclusion,VPE_Open Exclusion
29,5,2,4,4,8,4,,2,,,Aug - 2025,,2,1,,3,3,7,5,4,,25
16.428571428571427,3.3895631067961167,4.267857142857143,5.6634681288553805,3.7163695299837927,6.188315724052206,3.5493387589013223,6.031914893617022,3.737827715355805,4.494252873563219,1.4782608695652173,Sep - 2025,4.022988505747127,3.3408239700374533,3.857142857142857,1.3641304347826086,3.0030518819938963,3.2387898433279307,5.636420136730889,2.8398058252427183,5.116518163125428,5.159574468085107,14.586661177439275
15.183791606367583,2.7059599156118144,3.627450980392157,4.715988372093023,2.7439965694682678,5.282296650717703,2.6566265060240966,4.575829383886256,3.3512575888985254,4.323886639676114,1.3959183673469389,Oct - 2025,3.7611336032388665,3.0312228967909802,3.2745098039215685,1.3224489795918368,2.351004016064257,2.4828473413379073,4.885922941324603,2.365506329113924,4.313953488372093,4.220379146919432,14.065123010130247
13.057950857672694,1.929530201342282,3.3043478260869565,3.50253807106599,1.7766233766233765,3.986776859504132,1.715065502183406,2.408333333333333,2.631782945736434,3.5671641791044775,1.1639344262295082,Nov - 2025,3.3582089552238807,2.449612403100775,2.9420289855072466,1.0327868852459017,1.6135371179039302,1.7032467532467532,3.799173553719008,1.8213087248322148,3.2802030456852793,2.3,12.646267964765878
